feature,importance_mean,importance_std
Passport,0.4158032305708533,0.033824929202341154
Age,0.21187799064598067,0.016064456477601824
DurationOfPitch,0.16557968586073785,0.013890505829637587
CityTier,0.09471649426036058,0.012464187107754411
PreferredPropertyStar,0.09364832545047921,0.009157792408500951
MaritalStatus,0.06801843555403815,0.009812221252144222
PitchSatisfactionScore,0.06511095382484139,0.006652201291128253
Occupation,0.06157311279632053,0.0043827136082414024
ProductPitched,0.06147632109694923,0.01099491957602172
Designation,0.05889033968793691,0.010476824783808176
NumberOfFollowups,0.0575811456811441,0.01178060562565902
MonthlyIncome,0.05404982758916187,0.008847029962044952
NumberOfTrips,0.04609719613290786,0.005301482811865654
TypeofContact,0.019869953515276394,0.0034762873303273013
Gender,0.015966316661165013,0.0017824503512996362
NumberOfPersonVisiting,0.00981279993625508,0.0017868397564049052
OwnCar,0.004609473444433731,0.0020291919489789432
NumberOfChildrenVisiting,0.000672040733705237,0.002109498132873981
